latitude,longitude,url,Name,Beds,Visitors,Bathrooms,Bedrooms,Amenities,PricePerNight,Total_Price,#_of_Amenities,Views
38.4374,20.5521,https://www.airbnb.gr/rooms/43907785?adults=2&check_in=2023-07-20&check_out=2023-07-30&previous_page_section_name=1000,Blue Horizon Retro Villa ιδιωτική πισίνα υπέροχη θέα,2,3,1,1,"['Θέα στον κόλπο', 'Θέα στο βουνό', 'Θέα σε πισίνα', 'Θέα στη θάλασσα', 'Πιστολάκι μαλλιών', 'Σαμπουάν', 'Ζεστό νερό', 'Αφρόλουτρο', 'Είδη πρώτης ανάγκης', 'Κρεμάστρες', 'Κλινοσκεπάσματα', 'Επιπλέον μαξιλάρια και κουβέρτες', 'Απλώστρα ρούχων', 'Κουνουπιέρα', 'Χώρος αποθήκευσης ρούχων: ντουλάπα', 'Τηλεόραση', 'Βρεφική κούνια', 'Καρεκλάκι μωρού', 'Κλιματισμός', 'Πυροσβεστήρας', 'Κουτί πρώτων βοηθειών', 'Wifi', 'Κουζίνα', 'Ψυγείο', 'Φούρνος μικροκυμάτων', 'Μαγειρικά είδη', 'Πιάτα και μαχαιροπίρουνα', 'Ηλεκτρική εστία', 'Βραστήρας', 'Καφετιέρα', 'Ποτήρια κρασιού', 'Φρυγανιέρα', 'Τραπεζαρία', 'Ιδιωτική είσοδος', 'Αίθριο ή μπαλκόνι: Ιδιωτική παροχή', 'Κοινόχρηστη πίσω αυλή – Με πλήρη περίφραξη', 'Έπιπλα εξωτερικού χώρου', 'Υπαίθρια τραπεζαρία', 'Δωρεάν πάρκινγκ στην ιδιοκτησία', 'Πισίνα: Ιδιωτική παροχή:, σε εξωτερικό χώρο - διατίθεται ανάλογα την εποχή, διατίθεται 24 ώρες το 24-ωρο', 'Μονώροφο σπίτι', 'Επιτρέπεται αποθήκευση αποσκευών', 'Επιτρέπονται οι διαμονές μεγάλης διάρκειας', 'Ο οικοδεσπότης σας υποδέχεται']",226,2256,44,4
38.1801,20.4886,https://www.airbnb.gr/rooms/678700006356511674?adults=2&check_in=2023-07-20&check_out=2023-07-30&previous_page_section_name=1000,Nostra Casa apartment in Argostoli,2,3,1,1,"['Θέα σε αυλή', 'Θέα στον κήπο', 'Πιστολάκι μαλλιών', 'Σαμπουάν', 'Αφρόλουτρο/σαπούνι σώματος', 'Ζεστό νερό', 'Αφρόλουτρο', 'Πλυντήριο ρούχων', 'Είδη πρώτης ανάγκης', 'Κρεμάστρες', 'Κλινοσκεπάσματα', 'Κουρτίνες συσκότισης', 'Σίδερο', 'Απλώστρα ρούχων', 'Netflix', 'Κλιματιστικό παραθύρου', 'Θέρμανση - Κλιματιστικό με δύο μονάδες χωρίς αεραγωγό', 'Πυροσβεστήρας', 'Κουτί πρώτων βοηθειών', 'Wifi – 8 Mbps', 'Ειδικός χώρος εργασίας', 'Κουζίνα', 'Ψυγείο', 'Μαγειρικά είδη', 'Πιάτα και μαχαιροπίρουνα', 'Καταψύκτης', 'Κουζίνα', 'Φούρνος', 'Βραστήρας', 'Καφετιέρα: μηχανή για εσπρέσο, γαλλική πρέσα', 'Ποτήρια κρασιού', 'Φρυγανιέρα', 'Ταψί', 'Καφές', 'Τραπεζαρία', 'Αίθριο ή μπαλκόνι: Ιδιωτική παροχή', 'Ιδιωτική πίσω αυλή – Με πλήρη περίφραξη', 'Έπιπλα εξωτερικού χώρου', 'Υπαίθρια τραπεζαρία', 'Ψησταριά μπάρμπεκιου', 'Δωρεάν πάρκινγκ στον δρόμο', 'Μονώροφο σπίτι', 'Επιτρέπονται οι διαμονές μεγάλης διάρκειας']",224,2233,43,2
38.37577,20.53839,https://www.airbnb.gr/rooms/19335074?adults=2&check_in=2023-07-20&check_out=2023-07-30&previous_page_section_name=1000,Σοφίτα στην Άσσο με εκπληκτική θέα.,2,2,1,1,"['Θέα στον κόλπο', 'Θέα στη θάλασσα', 'Πιστολάκι μαλλιών', 'Σαμπουάν', 'Ζεστό νερό', 'Αφρόλουτρο', 'Πλυντήριο ρούχων', 'Στεγνωτήριο', 'Είδη πρώτης ανάγκης', 'Κρεμάστρες', 'Κλινοσκεπάσματα', 'Σίδερο', 'Χώρος αποθήκευσης ρούχων: γκαρνταρόμπα', 'Κλασική καλωδιακή τηλεόραση', 'Κλιματιστικό με δύο μονάδες χωρίς αεραγωγό', 'Πυροσβεστήρας', 'Wifi', 'Κουζίνα', 'Ψυγείο', 'Μαγειρικά είδη', 'Πιάτα και μαχαιροπίρουνα', 'Κουζίνα', 'Φούρνος', 'Καφετιέρα', 'Δωρεάν πάρκινγκ στην ιδιοκτησία', 'Δωρεάν πάρκινγκ στον δρόμο', 'Επιτρέπεται το κάπνισμα', 'Ο οικοδεσπότης σας υποδέχεται']",215,2145,28,2
38.24998,20.64537,https://www.airbnb.gr/rooms/624587858701089680?adults=2&check_in=2023-07-20&check_out=2023-07-30&previous_page_section_name=1000,Ο ξενώνας της Tonia,3,4,1,1,"['Θέα στον κήπο', 'Θέα στο βουνό', 'Πιστολάκι μαλλιών', 'Προϊόντα καθαρισμού', 'Πλυντήριο ρούχων', 'Είδη πρώτης ανάγκης', 'Κρεμάστρες', 'Κλινοσκεπάσματα', 'Σίδερο', 'Απλώστρα ρούχων', 'Χώρος αποθήκευσης ρούχων: γκαρνταρόμπα', 'Τηλεόραση', 'Πάρκο/κούνια ταξιδιού', 'Κλιματισμός', 'Πυροσβεστήρας', 'Κουτί πρώτων βοηθειών', 'Wifi', 'Κουζίνα', 'Ψυγείο', 'Μαγειρικά είδη', 'Πιάτα και μαχαιροπίρουνα', 'Καταψύκτης', 'Κουζίνα', 'Φούρνος', 'Καφετιέρα: κλασική καφετιέρα φίλτρου', 'Ταψί', 'Μαγειρικά σκεύη για μπάρμπεκιου', 'Ψησταριά μπάρμπεκιου', 'Δωρεάν πάρκινγκ στον δρόμο', 'Μονώροφο σπίτι', 'Επιτρέπονται οι διαμονές μεγάλης διάρκειας']",144,1434,31,2
38.3314,20.55,https://www.airbnb.gr/rooms/14224598?adults=2&check_in=2023-07-20&check_out=2023-07-30&previous_page_section_name=1000,Divaris charalampos 2,2,2,1,1,"['Θέα σε αυλή', 'Θέα στο βουνό', 'Ζεστό νερό', 'Είδη πρώτης ανάγκης', 'Κρεμάστρες', 'Απλώστρα ρούχων', 'Τηλεόραση 19"": Κλασική καλωδιακή τηλεόραση', 'Ανεμιστήρας οροφής', 'Πυροσβεστήρας', 'Κλειδαριά στην πόρτα του υπνοδωματίου', 'Wifi', 'Κουζίνα', 'Μαγειρικά είδη', 'Πιάτα και μαχαιροπίρουνα', 'Ψυγειάκι', 'Βραστήρας', 'Καφετιέρα', 'Πρόσβαση σε παραλία: Δημόσιο ή κοινόχρηστο', 'Ιδιωτική είσοδος', 'Πρόσβαση σε θέρετρο', 'Αίθριο ή μπαλκόνι: Κοινόχρηστη παροχή', 'Έπιπλα εξωτερικού χώρου', 'Δωρεάν πάρκινγκ στην ιδιοκτησία', 'Δωρεάν πάρκινγκ στον δρόμο', 'Επιτρέπονται κατοικίδια', 'Επιτρέπεται το κάπνισμα', 'Επιτρέπονται οι διαμονές μεγάλης διάρκειας', 'Ο οικοδεσπότης σας υποδέχεται']",142,1412,28,2
38.1193,20.6297,https://www.airbnb.gr/rooms/26373759?adults=2&check_in=2023-07-20&check_out=2023-07-30&previous_page_section_name=1000,Studio Maria με υπέροχη θέα στο Λουρδά,2,2,1,0,"['Θέα στον κόλπο', 'Θέα στον κήπο', 'Θέα στη θάλασσα', 'Πιστολάκι μαλλιών', 'Προϊόντα καθαρισμού', 'Σαμπουάν', 'Ζεστό νερό', 'Αφρόλουτρο', 'Είδη πρώτης ανάγκης', 'Κρεμάστρες', 'Κλινοσκεπάσματα', 'Επιπλέον μαξιλάρια και κουβέρτες', 'Κουρτίνες συσκότισης', 'Σίδερο', 'Απλώστρα ρούχων', 'Χώρος αποθήκευσης ρούχων: ντουλάπα', 'HDTV 32""', 'Κεντρικός κλιματισμός', 'Πυροσβεστήρας', 'Κουτί πρώτων βοηθειών', 'Wifi', 'Ψυγείο', 'Μαγειρικά είδη', 'Πιάτα και μαχαιροπίρουνα', 'Επαγωγική εστία', 'Βραστήρας', 'Καφετιέρα: κλασική καφετιέρα φίλτρου', 'Ποτήρια κρασιού', 'Φρυγανιέρα', 'Καφές', 'Ιδιωτική είσοδος', 'Αίθριο ή μπαλκόνι: Ιδιωτική παροχή', 'Κοινόχρηστη πίσω αυλή – Χωρίς πλήρη περίφραξη', 'Έπιπλα εξωτερικού χώρου', 'Είδη παραλίας', 'Δωρεάν πάρκινγκ στον δρόμο', 'Επιτρέπονται κατοικίδια', 'Επιτρέπεται αποθήκευση αποσκευών', 'Επιτρέπονται οι διαμονές μεγάλης διάρκειας', 'Ο οικοδεσπότης σας υποδέχεται']",141,1410,40,3
38.1137,20.6337,https://www.airbnb.gr/rooms/840990732149628331?adults=2&check_in=2023-07-20&check_out=2023-07-30&previous_page_section_name=1000,Angela μερική θέα στη θάλασσα 6,2,2,1,0,"['Θέα στη θάλασσα', 'Θέα στο βουνό', 'Είδη πρώτης ανάγκης', 'Κλινοσκεπάσματα', 'Τηλεόραση', 'Κλιματισμός', 'Wifi', 'Κουζίνα', 'Ψυγείο', 'Πιάτα και μαχαιροπίρουνα', 'Καταψύκτης', 'Κουζίνα', 'Βραστήρας', 'Πρόσβαση σε παραλία', 'Ιδιωτική είσοδος', 'Αίθριο ή μπαλκόνι', 'Δωρεάν πάρκινγκ στον δρόμο']",129,1283,17,2
38.1542,20.7711,https://www.airbnb.gr/rooms/54143316?adults=2&check_in=2023-07-20&check_out=2023-07-30&previous_page_section_name=1000,belvedere apartment,3,3,1,1,"['Θέα σε παραλία', 'Θέα στη θάλασσα', 'Πιστολάκι μαλλιών', 'Προϊόντα καθαρισμού', 'Σαμπουάν', 'Αφρόλουτρο/σαπούνι σώματος', 'Ζεστό νερό', 'Πλυντήριο ρούχων', 'Είδη πρώτης ανάγκης', 'Κρεμάστρες', 'Κλινοσκεπάσματα', 'Επιπλέον μαξιλάρια και κουβέρτες', 'Κουρτίνες συσκότισης', 'Σίδερο', 'Απλώστρα ρούχων', 'Χώρος αποθήκευσης ρούχων', 'Σύνδεση ethernet', 'Κλασική καλωδιακή τηλεόραση', 'Βρεφική κούνια', 'Πάρκο/κούνια ταξιδιού', 'Ανεξάρτητο καρεκλάκι μωρού', 'Επιτραπέζια παιχνίδια', 'Κλιματισμός', 'Ανιχνευτής καπνού', 'Ανιχνευτής μονοξειδίου του άνθρακα', 'Πυροσβεστήρας', 'Κουτί πρώτων βοηθειών', 'Wifi', 'Κουζίνα', 'Ψυγείο', 'Φούρνος μικροκυμάτων', 'Μαγειρικά είδη', 'Πιάτα και μαχαιροπίρουνα', 'Κουζίνα', 'Φούρνος', 'Βραστήρας', 'Καφετιέρα', 'Ποτήρια κρασιού', 'Φρυγανιέρα', 'Ταψί', 'Μαγειρικά σκεύη για μπάρμπεκιου', 'Πρόσβαση σε παραλία – Μπροστά σε παραλία', 'Αίθριο ή μπαλκόνι: Ιδιωτική παροχή', 'Πίσω αυλή', 'Έπιπλα εξωτερικού χώρου', 'Αιώρα', 'Είδη παραλίας', 'Δωρεάν πάρκινγκ στην ιδιοκτησία', 'Δωρεάν πάρκινγκ στον δρόμο', 'Ασανσέρ', 'Μονώροφο σπίτι', 'Επιτρέπεται αποθήκευση αποσκευών', 'Επιτρέπονται οι διαμονές μεγάλης διάρκειας', 'Check-in χωρίς παρουσία οικοδεσπότη', 'Κουτί φύλαξης κλειδιών']",128,1280,55,2
38.1237,20.5394,https://www.airbnb.gr/rooms/19394648?adults=2&check_in=2023-07-20&check_out=2023-07-30&previous_page_section_name=1000,"Στούντιο Kộli στο ισόγειο της Κεφαλονιάς, χώρος στάθμευσης σε πισίνα",2,3,1,0,"['Θέα στον κήπο', 'Θέα στο βουνό', 'Θέα σε πισίνα', 'Θέα σε αμπελώνες', 'Πιστολάκι μαλλιών', 'Προϊόντα καθαρισμού', 'Σαμπουάν', 'Μαλακτικό', 'Ντους εξωτερικού χώρου', 'Ζεστό νερό', 'Αφρόλουτρο', 'Πλυντήριο ρούχων – στο κτίριο: Δωρεάν', 'Είδη πρώτης ανάγκης', 'Κρεμάστρες', 'Κλινοσκεπάσματα', 'Επιπλέον μαξιλάρια και κουβέρτες', 'Κουρτίνες συσκότισης', 'Σίδερο', 'Απλώστρα ρούχων', 'Χώρος αποθήκευσης ρούχων: γκαρνταρόμπα', 'HDTV 32""', 'Βρεφική κούνια', 'Πάρκο/κούνια ταξιδιού', 'Παιδικά βιβλία και παιχνίδια', 'Καρεκλάκι μωρού', 'Κλιματισμός', 'Ανεμιστήρας οροφής', 'Φορητοί ανεμιστήρες', 'Θέρμανση', 'Ανιχνευτής καπνού', 'Ανιχνευτής μονοξειδίου του άνθρακα', 'Πυροσβεστήρας', 'Κουτί πρώτων βοηθειών', 'Wifi', 'Ειδικός χώρος εργασίας', 'Κουζίνα', 'Ψυγείο', 'Φούρνος μικροκυμάτων', 'Μαγειρικά είδη', 'Πιάτα και μαχαιροπίρουνα', 'Ψυγειάκι', 'Ηλεκτρική εστία', 'Μονός φούρνος', 'Βραστήρας', 'Καφετιέρα: κλασική καφετιέρα φίλτρου, μηχανή για εσπρέσο', 'Ποτήρια κρασιού', 'Φρυγανιέρα', 'Ταψί', 'Μίξερ', 'Μαγειρικά σκεύη για μπάρμπεκιου', 'Τραπεζαρία', 'Ιδιωτική είσοδος', 'Αίθριο ή μπαλκόνι: Ιδιωτική παροχή', 'Ιδιωτική πίσω αυλή – Με πλήρη περίφραξη', 'Έπιπλα εξωτερικού χώρου', 'Υπαίθρια τραπεζαρία', 'Ψησταριά μπάρμπεκιου', 'Ποδήλατα', 'Δωρεάν πάρκινγκ στην ιδιοκτησία', 'Πισίνα: κοινόχρηστη παροχή σε εξωτερικό χώρο', 'Επιτρέπεται αποθήκευση αποσκευών', 'Επιτρέπεται το κάπνισμα', 'Check-in χωρίς παρουσία οικοδεσπότη', 'Προσωπικό κτηρίου', 'Ο οικοδεσπότης σας υποδέχεται']",124,1240,65,4
38.4655,20.5489,https://www.airbnb.gr/rooms/15130834?adults=2&check_in=2023-07-20&check_out=2023-07-30&previous_page_section_name=1000,Γραφικό παραδοσιακό εξοχικό σπίτι του 17ου αιώνα,4,6,1,2,"['Θέα στον κόλπο', 'Θέα στον κήπο', 'Θέα σε ωκεανό', 'Μπανιέρα', 'Πιστολάκι μαλλιών', 'Σαμπουάν', 'Ζεστό νερό', 'Πλυντήριο ρούχων – στο κτίριο: Δωρεάν', 'Είδη πρώτης ανάγκης', 'Κρεμάστρες', 'Κλινοσκεπάσματα', 'Επιπλέον μαξιλάρια και κουβέρτες', 'Σίδερο', 'HDTV με Κλασική καλωδιακή τηλεόραση', 'Κλιματιστικό με δύο μονάδες χωρίς αεραγωγό', 'Θέρμανση', 'Ανιχνευτής καπνού', 'Ανιχνευτής μονοξειδίου του άνθρακα', 'Πυροσβεστήρας', 'Wifi', 'Κουζίνα', 'Ψυγείο', 'Φούρνος μικροκυμάτων', 'Μαγειρικά είδη', 'Πιάτα και μαχαιροπίρουνα', 'Καταψύκτης', 'Κουζίνα', 'Φούρνος', 'Καφετιέρα', 'Ταψί', 'Ιδιωτική είσοδος', 'Αίθριο ή μπαλκόνι: Ιδιωτική παροχή', 'Ιδιωτική πίσω αυλή – Με πλήρη περίφραξη', 'Δωρεάν πάρκινγκ στην ιδιοκτησία', 'Μονώροφο σπίτι', 'Επιτρέπονται κατοικίδια', 'Επιτρέπεται αποθήκευση αποσκευών', 'Επιτρέπονται οι διαμονές μεγάλης διάρκειας', 'Check-in χωρίς παρουσία οικοδεσπότη', 'Κουτί φύλαξης κλειδιών']",124,1240,40,3
